Frame,Time,SMPTE,bar_right_elbow_x,bar_right_elbow_y,bar_right_elbow_z
92,0.9479200000000001,00:34:39.15:00,939.587,1131.9415,-489.0865
93,0.9583299999999999,00:34:39.15:01,938.9475,1125.0135,-485.07800000000003
94,0.96875,00:34:39.15:02,938.33,1118.285,-480.9585
95,0.9791700000000001,00:34:39.15:03,938.074,1111.7145,-476.6405
96,0.9895799999999999,00:34:39.16:00,937.6560000000001,1105.3785,-472.35699999999997
97,1.0,00:34:39.16:01,936.936,1099.1635,-468.00300000000004
98,1.01042,00:34:39.16:02,936.3125,1093.1595,-463.5895
99,1.02083,00:34:39.16:03,935.7485,1087.3385,-459.1235
100,1.03125,00:34:39.17:00,935.3225,1081.7625,-454.6475
101,1.04167,00:34:39.17:01,935.073,1076.4635,-450.1795
102,1.05208,00:34:39.17:02,934.8725,1071.4385,-445.644
103,1.0625,00:34:39.17:03,934.488,1066.628,-441.1915
104,1.07292,00:34:39.18:00,934.4105,1062.049,-436.724
105,1.08333,00:34:39.18:01,934.7460000000001,1057.622,-432.43
106,1.09375,00:34:39.18:02,934.9115,1053.4315,-427.9895
107,1.10417,00:34:39.18:03,935.183,1049.3385,-423.5805
108,1.11458,00:34:39.19:00,935.5945,1045.3975,-419.1375
109,1.125,00:34:39.19:01,936.041,1041.553,-414.663
110,1.13542,00:34:39.19:02,936.5445,1038.0075,-410.18
111,1.14583,00:34:39.19:03,936.8605,1034.6465,-405.719
112,1.15625,00:34:39.20:00,937.035,1031.447,-401.351
113,1.16667,00:34:39.20:01,937.125,1028.4360000000001,-397.06699999999995
114,1.17708,00:34:39.20:02,937.457,1025.652,-392.94199999999995
115,1.1875,00:34:39.20:03,937.6015,1022.9805,-388.95
116,1.19792,00:34:39.21:00,937.768,1020.3785,-385.0525
117,1.20833,00:34:39.21:01,937.959,1017.943,-381.225
118,1.21875,00:34:39.21:02,938.203,1015.6835,-377.452
119,1.22917,00:34:39.21:03,938.2865,1013.1725,-373.3955
120,1.23958,00:34:39.22:00,939.81,1011.7705,-370.0145
121,1.25,00:34:39.22:01,940.1705,1010.1189999999999,-366.62199999999996
122,1.26042,00:34:39.22:02,940.6010000000001,1008.5365,-363.3385
123,1.27083,00:34:39.22:03,941.198,1007.0435,-360.216
124,1.28125,00:34:39.23:00,941.5505,1005.6545,-357.4295
125,1.29167,00:34:39.23:01,942.0235,1004.2395,-354.6425
126,1.30208,00:34:39.23:02,942.211,1002.798,-352.0295
127,1.3125,00:34:39.23:03,942.4789999999999,1001.632,-349.462
128,1.32292,00:34:39.24:00,942.956,1000.2845,-346.9475
129,1.33333,00:34:39.24:01,944.345,999.071,-344.39599999999996
130,1.34375,00:34:39.24:02,945.0865,997.987,-341.94
131,1.35417,00:34:39.24:03,945.702,997.0219999999999,-339.56800000000004
132,1.36458,00:34:40.00:00,946.2875,996.0305,-337.292
133,1.375,00:34:40.00:01,946.804,995.1665,-335.082
134,1.38542,00:34:40.00:02,947.3655,994.3615,-332.93699999999995
135,1.39583,00:34:40.00:03,947.7935,993.5785,-330.86400000000003
136,1.40625,00:34:40.01:00,948.2365,992.709,-328.923
137,1.41667,00:34:40.01:01,948.758,991.8915,-327.1465
138,1.42708,00:34:40.01:02,949.069,991.193,-325.4375
139,1.4375,00:34:40.01:03,949.324,990.6135,-323.7525
140,1.44792,00:34:40.02:00,949.5025,990.0310000000001,-322.1405
141,1.45833,00:34:40.02:01,949.6310000000001,989.4305,-320.6235
142,1.46875,00:34:40.02:02,949.7495,988.8389999999999,-319.26099999999997
143,1.47917,00:34:40.02:03,949.9,988.3335,-317.925
144,1.48958,00:34:40.03:00,950.018,987.7819999999999,-316.7365
145,1.5,00:34:40.03:01,950.0505,987.2275,-315.6165
146,1.51042,00:34:40.03:02,950.1875,986.7425,-314.612
147,1.52083,00:34:40.03:03,950.2835,986.2715,-313.6695
148,1.53125,00:34:40.04:00,952.568,986.1325,-313.938
149,1.54167,00:34:40.04:01,952.4745,985.6125,-313.2095
150,1.55208,00:34:40.04:02,952.4019999999999,985.1285,-312.5415
151,1.5625,00:34:40.04:03,952.3325,984.6815,-311.92900000000003
152,1.57292,00:34:40.05:00,952.2080000000001,984.298,-311.295
153,1.58333,00:34:40.05:01,951.7025,984.041,-310.505
154,1.59375,00:34:40.05:02,951.6965,983.6975,-309.8635
155,1.60417,00:34:40.05:03,951.7395,983.362,-309.2025
156,1.61458,00:34:40.06:00,951.7185,983.057,-308.54200000000003
157,1.625,00:34:40.06:01,949.939,982.8735,-308.0215
158,1.63542,00:34:40.06:02,949.8539999999999,982.6115,-307.3015
159,1.64583,00:34:40.06:03,957.1195,982.572,-305.673
160,1.65625,00:34:40.07:00,957.0555,982.3555,-304.9035
161,1.66667,00:34:40.07:01,957.0505,982.238,-304.099
162,1.67708,00:34:40.07:02,956.9415,982.1075,-303.346
163,1.6875,00:34:40.07:03,957.6495,982.0445,-302.745
164,1.69792,00:34:40.08:00,957.5830000000001,981.926,-302.0775
165,1.70833,00:34:40.08:01,957.6235,981.8839999999999,-301.416
166,1.71875,00:34:40.08:02,959.462,981.956,-301.4365
167,1.72917,00:34:40.08:03,959.6925,981.9525,-300.93
168,1.73958,00:34:40.09:00,959.812,981.7565,-300.4435
169,1.75,00:34:40.09:01,959.8655,981.669,-299.9215
170,1.76042,00:34:40.09:02,959.9245,981.546,-299.4355
171,1.77083,00:34:40.09:03,960.0419999999999,981.4175,-298.996
172,1.78125,00:34:40.10:00,960.0945,981.3205,-298.5625
173,1.79167,00:34:40.10:01,960.1705,981.164,-298.1915
174,1.80208,00:34:40.10:02,960.0975,980.992,-297.824
175,1.8125,00:34:40.10:03,960.0555,980.8565,-297.5015
176,1.82292,00:34:40.11:00,960.0085,980.7365,-297.2325
177,1.83333,00:34:40.11:01,960.0355,980.605,-297.0235
178,1.84375,00:34:40.11:02,960.16,980.5645,-296.83799999999997
179,1.85417,00:34:40.11:03,960.2775,980.5615,-296.744
180,1.86458,00:34:40.12:00,960.541,980.6185,-296.7405
181,1.875,00:34:40.12:01,960.8365,980.7115,-296.7725
182,1.88542,00:34:40.12:02,961.0685,980.7965,-296.8445
