Frame,Time,SMPTE,bar_right_knee_x,bar_right_knee_y,bar_right_knee_z
94,0.96875,00:34:39.15:02,955.3285,417.4805,-191.5275
95,0.9791700000000001,00:34:39.15:03,955.3960000000001,417.4675,-191.57299999999998
96,0.9895799999999999,00:34:39.16:00,955.4225,417.461,-191.6295
97,1.0,00:34:39.16:01,955.453,417.44599999999997,-191.6715
98,1.01042,00:34:39.16:02,955.4745,417.4435,-191.72400000000002
99,1.02083,00:34:39.16:03,955.461,417.4475,-191.7755
100,1.03125,00:34:39.17:00,955.428,417.45300000000003,-191.81599999999997
101,1.04167,00:34:39.17:01,955.3705,417.45300000000003,-191.8385
102,1.05208,00:34:39.17:02,955.3115,417.4535,-191.858
103,1.0625,00:34:39.17:03,955.227,417.4505,-191.87400000000002
104,1.07292,00:34:39.18:00,955.1445,417.43199999999996,-191.8805
105,1.08333,00:34:39.18:01,955.0795,417.42400000000004,-191.8875
106,1.09375,00:34:39.18:02,954.9895,417.412,-191.90200000000002
107,1.10417,00:34:39.18:03,954.8895,417.39599999999996,-191.926
108,1.11458,00:34:39.19:00,954.7769999999999,417.4195,-191.95
109,1.125,00:34:39.19:01,954.675,417.4115,-191.986
110,1.13542,00:34:39.19:02,954.5625,417.402,-192.02200000000002
111,1.14583,00:34:39.19:03,954.4505,417.3875,-192.06400000000002
112,1.15625,00:34:39.20:00,954.345,417.36699999999996,-192.1215
113,1.16667,00:34:39.20:01,954.216,417.381,-192.166
114,1.17708,00:34:39.20:02,954.0975,417.369,-192.2215
115,1.1875,00:34:39.20:03,953.961,417.3845,-192.3
116,1.19792,00:34:39.21:00,953.813,417.3955,-192.364
117,1.20833,00:34:39.21:01,953.6475,417.397,-192.4345
118,1.21875,00:34:39.21:02,953.5215,417.3995,-192.495
119,1.22917,00:34:39.21:03,953.3989999999999,417.3945,-192.549
120,1.23958,00:34:39.22:00,953.289,417.409,-192.608
121,1.25,00:34:39.22:01,953.18,417.411,-192.6645
122,1.26042,00:34:39.22:02,953.0505,417.415,-192.725
123,1.27083,00:34:39.22:03,952.9125,417.42400000000004,-192.7945
124,1.28125,00:34:39.23:00,952.7689999999999,417.4305,-192.855
125,1.29167,00:34:39.23:01,952.627,417.435,-192.9175
126,1.30208,00:34:39.23:02,952.456,417.457,-193.00900000000001
127,1.3125,00:34:39.23:03,952.331,417.4835,-193.1005
128,1.32292,00:34:39.24:00,952.2075,417.49300000000005,-193.204
129,1.33333,00:34:39.24:01,952.1335,417.50199999999995,-193.2995
130,1.34375,00:34:39.24:02,952.076,417.5045,-193.3975
131,1.35417,00:34:39.24:03,952.0269999999999,417.514,-193.4945
132,1.36458,00:34:40.00:00,952.0005,417.5175,-193.58
133,1.375,00:34:40.00:01,951.944,417.5235,-193.671
134,1.38542,00:34:40.00:02,951.9065,417.5295,-193.7495
135,1.39583,00:34:40.00:03,951.834,417.5395,-193.832
136,1.40625,00:34:40.01:00,951.7565,417.5385,-193.8895
137,1.41667,00:34:40.01:01,951.6610000000001,417.551,-193.96599999999998
138,1.42708,00:34:40.01:02,951.5585,417.57,-194.0165
139,1.4375,00:34:40.01:03,951.4685,417.582,-194.0665
140,1.44792,00:34:40.02:00,951.3739999999999,417.59,-194.1195
141,1.45833,00:34:40.02:01,951.3005,417.601,-194.144
142,1.46875,00:34:40.02:02,951.2265,417.61199999999997,-194.183
143,1.47917,00:34:40.02:03,951.1635,417.6355,-194.2065
144,1.48958,00:34:40.03:00,951.096,417.6425,-194.22299999999998
145,1.5,00:34:40.03:01,951.049,417.639,-194.239
146,1.51042,00:34:40.03:02,951.0010000000001,417.6405,-194.248
147,1.52083,00:34:40.03:03,950.9515,417.6225,-194.24099999999999
148,1.53125,00:34:40.04:00,950.9055,417.6105,-194.2365
149,1.54167,00:34:40.04:01,950.8685,417.615,-194.2345
150,1.55208,00:34:40.04:02,950.825,417.605,-194.2185
151,1.5625,00:34:40.04:03,950.789,417.6005,-194.2015
152,1.57292,00:34:40.05:00,950.7589999999999,417.594,-194.1905
153,1.58333,00:34:40.05:01,950.7130000000001,417.596,-194.18099999999998
154,1.59375,00:34:40.05:02,950.6785,417.6,-194.1645
155,1.60417,00:34:40.05:03,950.632,417.606,-194.1395
156,1.61458,00:34:40.06:00,950.5965,417.601,-194.114
157,1.625,00:34:40.06:01,950.5625,417.593,-194.0835
158,1.63542,00:34:40.06:02,950.5419999999999,417.594,-194.0705
159,1.64583,00:34:40.06:03,950.5195,417.583,-194.03900000000002
160,1.65625,00:34:40.07:00,950.5285,417.5765,-194.04
161,1.66667,00:34:40.07:01,950.5395,417.5655,-194.044
162,1.67708,00:34:40.07:02,950.56,417.5605,-194.043
163,1.6875,00:34:40.07:03,950.607,417.566,-194.0495
164,1.69792,00:34:40.08:00,950.6375,417.5535,-194.049
165,1.70833,00:34:40.08:01,950.6715,417.541,-194.0605
166,1.71875,00:34:40.08:02,950.701,417.5475,-194.0595
167,1.72917,00:34:40.08:03,950.6885,417.5505,-194.081
168,1.73958,00:34:40.09:00,950.7215,417.5425,-194.092
169,1.75,00:34:40.09:01,950.7025,417.548,-194.111
170,1.76042,00:34:40.09:02,950.7105,417.55199999999996,-194.1235
171,1.77083,00:34:40.09:03,950.7105,417.5545,-194.1465
172,1.78125,00:34:40.10:00,950.7095,417.551,-194.1615
173,1.79167,00:34:40.10:01,950.7145,417.5515,-194.1905
174,1.80208,00:34:40.10:02,950.7245,417.5415,-194.2035
175,1.8125,00:34:40.10:03,950.7295,417.5465,-194.2375
176,1.82292,00:34:40.11:00,950.73,417.55199999999996,-194.237
177,1.83333,00:34:40.11:01,950.7460000000001,417.5385,-194.245
178,1.84375,00:34:40.11:02,950.7565,417.5285,-194.2515
179,1.85417,00:34:40.11:03,950.7715,417.532,-194.24099999999999
180,1.86458,00:34:40.12:00,950.793,417.5275,-194.2455
181,1.875,00:34:40.12:01,950.8085,417.526,-194.238
182,1.88542,00:34:40.12:02,950.7985,417.5325,-194.2305
183,1.89583,00:34:40.12:03,950.7869999999999,417.531,-194.2335
184,1.90625,00:34:40.13:00,950.758,417.533,-194.2335
185,1.91667,00:34:40.13:01,950.721,417.5365,-194.225
186,1.92708,00:34:40.13:02,950.6745,417.5395,-194.233
187,1.9375,00:34:40.13:03,950.6405,417.5405,-194.245
188,1.94792,00:34:40.14:00,950.605,417.5415,-194.235
189,1.95833,00:34:40.14:01,950.595,417.5355,-194.2395
190,1.96875,00:34:40.14:02,950.587,417.5335,-194.239
191,1.97917,00:34:40.14:03,950.574,417.53,-194.236
192,1.98958,00:34:40.15:00,950.585,417.5135,-194.231
193,2.0,00:34:40.15:01,950.59,417.51300000000003,-194.239
194,2.01042,00:34:40.15:02,950.5875,417.514,-194.2275
195,2.02083,00:34:40.15:03,950.5965,417.50699999999995,-194.2495
196,2.03125,00:34:40.16:00,950.617,417.5025,-194.2525
197,2.04167,00:34:40.16:01,950.6189999999999,417.50800000000004,-194.257
198,2.05208,00:34:40.16:02,950.6295,417.51599999999996,-194.263
199,2.0625,00:34:40.16:03,950.6375,417.5075,-194.268
200,2.07292,00:34:40.17:00,950.6355,417.5235,-194.285
201,2.08333,00:34:40.17:01,950.6505,417.5175,-194.2875
202,2.09375,00:34:40.17:02,950.6505,417.519,-194.3045
203,2.10417,00:34:40.17:03,950.6575,417.52,-194.3125
204,2.11458,00:34:40.18:00,950.66,417.528,-194.3425
205,2.125,00:34:40.18:01,950.683,417.519,-194.368
206,2.13542,00:34:40.18:02,950.677,417.528,-194.3915
207,2.14583,00:34:40.18:03,950.706,417.5195,-194.4095
208,2.15625,00:34:40.19:00,950.7239999999999,417.53,-194.426
209,2.16667,00:34:40.19:01,950.737,417.525,-194.4285
210,2.17708,00:34:40.19:02,950.7589999999999,417.527,-194.433
211,2.1875,00:34:40.19:03,950.7635,417.5285,-194.453
212,2.19792,00:34:40.20:00,950.765,417.535,-194.46
213,2.20833,00:34:40.20:01,950.7719999999999,417.538,-194.4595
214,2.21875,00:34:40.20:02,950.7739999999999,417.546,-194.463
215,2.22917,00:34:40.20:03,950.7689999999999,417.5595,-194.48
216,2.23958,00:34:40.21:00,950.775,417.5555,-194.4835
217,2.25,00:34:40.21:01,950.796,417.56300000000005,-194.4835
218,2.26042,00:34:40.21:02,950.8295,417.56800000000004,-194.502
219,2.27083,00:34:40.21:03,950.8735,417.575,-194.5205
220,2.28125,00:34:40.22:00,950.909,417.5785,-194.5385
221,2.29167,00:34:40.22:01,950.9605,417.5835,-194.5565
222,2.30208,00:34:40.22:02,951.0145,417.592,-194.5975
223,2.3125,00:34:40.22:03,951.071,417.595,-194.6125
224,2.32292,00:34:40.23:00,951.137,417.6005,-194.64
225,2.33333,00:34:40.23:01,951.1965,417.60400000000004,-194.66299999999998
226,2.34375,00:34:40.23:02,951.2365,417.6105,-194.697
227,2.35417,00:34:40.23:03,951.288,417.6255,-194.729
228,2.36458,00:34:40.24:00,951.352,417.62,-194.7485
229,2.375,00:34:40.24:01,951.4105,417.63199999999995,-194.794
230,2.38542,00:34:40.24:02,951.472,417.63199999999995,-194.8295
231,2.39583,00:34:40.24:03,951.5475,417.6325,-194.86700000000002
232,2.40625,00:34:41.00:00,951.6215,417.634,-194.90900000000002
233,2.41667,00:34:41.00:01,951.6835,417.6375,-194.9495
234,2.42708,00:34:41.00:02,951.7465,417.6425,-195.01
235,2.4375,00:34:41.00:03,951.8175,417.65,-195.0585
236,2.44792,00:34:41.01:00,951.8735,417.655,-195.1165
237,2.45833,00:34:41.01:01,951.92,417.6635,-195.1645
238,2.46875,00:34:41.01:02,951.9755,417.6675,-195.226
239,2.47917,00:34:41.01:03,952.0210000000001,417.6815,-195.27200000000002
240,2.48958,00:34:41.02:00,952.0715,417.685,-195.326
241,2.5,00:34:41.02:01,952.0985,417.69599999999997,-195.3785
242,2.51042,00:34:41.02:02,952.1210000000001,417.7045,-195.416
243,2.52083,00:34:41.02:03,952.1445,417.70300000000003,-195.4495
244,2.53125,00:34:41.03:00,952.16,417.7085,-195.4685
245,2.54167,00:34:41.03:01,952.1619999999999,417.7145,-195.489
246,2.55208,00:34:41.03:02,952.181,417.733,-195.50799999999998
247,2.5625,00:34:41.03:03,952.186,417.736,-195.5285
248,2.57292,00:34:41.04:00,952.211,417.7295,-195.55599999999998
249,2.58333,00:34:41.04:01,952.2405,417.75199999999995,-195.582
250,2.59375,00:34:41.04:02,952.2595,417.756,-195.6115
251,2.60417,00:34:41.04:03,952.2835,417.7565,-195.622
252,2.61458,00:34:41.05:00,952.3330000000001,417.74800000000005,-195.641
253,2.625,00:34:41.05:01,952.37,417.74199999999996,-195.665
254,2.63542,00:34:41.05:02,952.405,417.75,-195.6615
255,2.64583,00:34:41.05:03,952.44,417.74800000000005,-195.6475
256,2.65625,00:34:41.06:00,952.4865,417.7485,-195.66299999999998
257,2.66667,00:34:41.06:01,952.5375,417.7525,-195.6685
258,2.67708,00:34:41.06:02,952.58,417.7545,-195.6555
259,2.6875,00:34:41.06:03,952.627,417.7605,-195.6665
260,2.69792,00:34:41.07:00,952.6835,417.759,-195.669
261,2.70833,00:34:41.07:01,952.7435,417.755,-195.673
262,2.71875,00:34:41.07:02,952.796,417.7585,-195.6855
263,2.72917,00:34:41.07:03,952.8480000000001,417.75300000000004,-195.6855
264,2.73958,00:34:41.08:00,952.9060000000001,417.75199999999995,-195.708
265,2.75,00:34:41.08:01,952.9615,417.7635,-195.7065
266,2.76042,00:34:41.08:02,952.9939999999999,417.77,-195.71900000000002
267,2.77083,00:34:41.08:03,953.035,417.76599999999996,-195.72099999999998
268,2.78125,00:34:41.09:00,953.0875,417.759,-195.73
269,2.79167,00:34:41.09:01,953.127,417.77,-195.731
