Frame,Time,SMPTE,bar_left_elbow_x,bar_left_elbow_y,bar_left_elbow_z
95,0.9791700000000001,00:34:39.15:03,934.0065,1108.3955,305.9495
96,0.9895799999999999,00:34:39.16:00,933.5895,1102.0785,301.77099999999996
97,1.0,00:34:39.16:01,933.061,1095.8025,297.4885
98,1.01042,00:34:39.16:02,932.1365,1089.4715,293.132
99,1.02083,00:34:39.16:03,931.7410000000001,1083.407,288.76
100,1.03125,00:34:39.17:00,932.6160000000001,1078.01,284.3985
101,1.04167,00:34:39.17:01,932.2595,1072.8925,280.524
102,1.05208,00:34:39.17:02,931.8655,1067.52,275.948
103,1.0625,00:34:39.17:03,931.3689999999999,1062.2665,271.3165
104,1.07292,00:34:39.18:00,930.988,1057.3385,266.749
105,1.08333,00:34:39.18:01,930.6485,1052.5925,262.191
106,1.09375,00:34:39.18:02,930.4910000000001,1048.0075,257.6575
107,1.10417,00:34:39.18:03,930.437,1043.423,253.1215
108,1.11458,00:34:39.19:00,930.5455,1039.193,248.59900000000002
109,1.125,00:34:39.19:01,930.6855,1035.18,244.179
110,1.13542,00:34:39.19:02,930.6985,1031.2839999999999,239.6845
111,1.14583,00:34:39.19:03,930.6715,1027.6025,235.2465
112,1.15625,00:34:39.20:00,930.6089999999999,1024.1385,230.9095
113,1.16667,00:34:39.20:01,930.5745,1020.8095,226.672
114,1.17708,00:34:39.20:02,930.5655,1017.6295,222.47400000000002
115,1.1875,00:34:39.20:03,930.4565,1014.7795,218.3715
116,1.19792,00:34:39.21:00,930.618,1012.0445,214.364
117,1.20833,00:34:39.21:01,930.63,1009.4789999999999,210.4735
118,1.21875,00:34:39.21:02,930.4955,1006.9635,206.6785
119,1.22917,00:34:39.21:03,930.5035,1004.6905,203.183
120,1.23958,00:34:39.22:00,930.0060000000001,1002.4655,199.885
121,1.25,00:34:39.22:01,929.883,1000.373,196.736
122,1.26042,00:34:39.22:02,929.5675,998.3545,193.81799999999998
123,1.27083,00:34:39.22:03,928.8655,996.434,191.0825
124,1.28125,00:34:39.23:00,928.8715,994.5905,188.32
125,1.29167,00:34:39.23:01,928.2015,992.7689999999999,185.801
126,1.30208,00:34:39.23:02,928.561,991.107,183.141
127,1.3125,00:34:39.23:03,928.5335,989.513,180.649
128,1.32292,00:34:39.24:00,929.623,987.9655,178.0525
129,1.33333,00:34:39.24:01,929.4365,986.5980000000001,175.725
130,1.34375,00:34:39.24:02,930.1165,985.355,173.3145
131,1.35417,00:34:39.24:03,930.2510000000001,984.2919999999999,171.06099999999998
132,1.36458,00:34:40.00:00,930.415,983.2289999999999,168.87900000000002
133,1.375,00:34:40.00:01,930.5185,982.265,166.7615
134,1.38542,00:34:40.00:02,930.559,981.4275,164.7075
135,1.39583,00:34:40.00:03,930.5805,980.5755,162.6735
136,1.40625,00:34:40.01:00,930.3735,979.8465,160.731
137,1.41667,00:34:40.01:01,930.225,979.1210000000001,158.789
138,1.42708,00:34:40.01:02,930.066,978.4825,156.8625
139,1.4375,00:34:40.01:03,929.5935,977.9855,155.1625
140,1.44792,00:34:40.02:00,929.3215,977.3435,153.317
141,1.45833,00:34:40.02:01,930.2265,976.65,151.3315
142,1.46875,00:34:40.02:02,930.085,976.07,149.66
143,1.47917,00:34:40.02:03,929.926,975.5095,148.001
144,1.48958,00:34:40.03:00,929.862,974.9895,146.4645
145,1.5,00:34:40.03:01,929.79,974.4475,144.936
146,1.51042,00:34:40.03:02,929.7715,973.92,143.4365
147,1.52083,00:34:40.03:03,929.855,973.48,141.983
148,1.53125,00:34:40.04:00,929.8485,973.0585,140.541
149,1.54167,00:34:40.04:01,930.0085,972.7155,139.1145
150,1.55208,00:34:40.04:02,930.127,972.4405,137.67
151,1.5625,00:34:40.04:03,922.433,972.0169999999999,135.9895
152,1.57292,00:34:40.05:00,923.1745,971.938,134.632
153,1.58333,00:34:40.05:01,923.5515,971.6395,133.3265
154,1.59375,00:34:40.05:02,924.2265,971.4095,132.0275
155,1.60417,00:34:40.05:03,924.7560000000001,971.2765,130.72899999999998
156,1.61458,00:34:40.06:00,925.3610000000001,970.997,129.555
157,1.625,00:34:40.06:01,925.8745,970.689,128.3725
158,1.63542,00:34:40.06:02,926.3505,970.3810000000001,127.3215
159,1.64583,00:34:40.06:03,928.8145,970.2389999999999,126.4235
160,1.65625,00:34:40.07:00,928.3889999999999,970.0615,125.521
161,1.66667,00:34:40.07:01,927.8960000000001,969.804,124.6425
162,1.67708,00:34:40.07:02,927.2005,969.4960000000001,123.852
163,1.6875,00:34:40.07:03,926.518,969.055,123.1435
164,1.69792,00:34:40.08:00,927.653,969.207,122.3995
165,1.70833,00:34:40.08:01,927.654,969.1419999999999,121.76100000000001
166,1.71875,00:34:40.08:02,927.7439999999999,969.0825,121.0785
167,1.72917,00:34:40.08:03,928.0385,969.0345,120.42
168,1.73958,00:34:40.09:00,928.2310000000001,969.034,119.723
169,1.75,00:34:40.09:01,928.495,969.03,119.01700000000001
170,1.76042,00:34:40.09:02,928.6605,969.038,118.3465
171,1.77083,00:34:40.09:03,928.9175,969.023,117.6695
172,1.78125,00:34:40.10:00,929.172,968.97,117.01700000000001
173,1.79167,00:34:40.10:01,929.288,968.933,116.429
174,1.80208,00:34:40.10:02,929.4405,968.8765,115.8525
175,1.8125,00:34:40.10:03,929.5635,968.8689999999999,115.294
176,1.82292,00:34:40.11:00,929.581,968.8245,114.8305
177,1.83333,00:34:40.11:01,929.648,968.775,114.3455
178,1.84375,00:34:40.11:02,929.4945,968.898,113.98700000000001
179,1.85417,00:34:40.11:03,929.4145,968.943,113.6055
180,1.86458,00:34:40.12:00,929.2189999999999,969.0875,113.28200000000001
181,1.875,00:34:40.12:01,929.1225,969.1415,112.9895
182,1.88542,00:34:40.12:02,929.1205,969.179,112.70299999999999
183,1.89583,00:34:40.12:03,929.1275,969.1565,112.4555
184,1.90625,00:34:40.13:00,929.1715,969.0955,112.165
185,1.91667,00:34:40.13:01,929.27,968.975,111.8535
186,1.92708,00:34:40.13:02,929.3355,968.8365,111.553
187,1.9375,00:34:40.13:03,929.4975,968.672,111.228
188,1.94792,00:34:40.14:00,929.692,968.4865,110.914
189,1.95833,00:34:40.14:01,930.013,968.3345,110.5685
190,1.96875,00:34:40.14:02,930.2765,968.1389999999999,110.2305
191,1.97917,00:34:40.14:03,930.5515,967.9985,109.8145
192,1.98958,00:34:40.15:00,930.7205,967.8475,109.4135
193,2.0,00:34:40.15:01,930.9255,967.7295,108.96
194,2.01042,00:34:40.15:02,931.3375,967.6555,108.4625
195,2.02083,00:34:40.15:03,931.563,967.503,108.0305
196,2.03125,00:34:40.16:00,932.4505,967.4865,107.6205
197,2.04167,00:34:40.16:01,933.0785,967.3489999999999,107.3155
198,2.05208,00:34:40.16:02,933.429,967.248,107.053
199,2.0625,00:34:40.16:03,933.3745,967.207,106.8205
200,2.07292,00:34:40.17:00,932.9345,967.1385,106.6905
201,2.08333,00:34:40.17:01,932.3430000000001,966.961,106.6035
202,2.09375,00:34:40.17:02,932.11,966.8285,106.60700000000001
203,2.10417,00:34:40.17:03,932.064,966.6805,106.664
204,2.11458,00:34:40.18:00,932.0855,966.556,106.756
205,2.125,00:34:40.18:01,932.187,966.403,106.876
206,2.13542,00:34:40.18:02,932.2145,966.3330000000001,106.9725
207,2.14583,00:34:40.18:03,932.1725,966.248,107.0675
208,2.15625,00:34:40.19:00,930.805,966.2105,107.7865
209,2.16667,00:34:40.19:01,930.779,966.192,107.8795
210,2.17708,00:34:40.19:02,930.7919999999999,966.2665,107.944
211,2.1875,00:34:40.19:03,930.8175,966.2935,108.0325
212,2.19792,00:34:40.20:00,930.8085,966.322,108.1125
213,2.20833,00:34:40.20:01,930.7515,966.3489999999999,108.21799999999999
214,2.21875,00:34:40.20:02,930.6210000000001,966.387,108.399
215,2.22917,00:34:40.20:03,930.433,966.3805,108.6285
216,2.23958,00:34:40.21:00,930.7975,966.4735,109.01899999999999
217,2.25,00:34:40.21:01,929.905,966.4225,109.2245
218,2.26042,00:34:40.21:02,929.548,966.445,109.58200000000001
219,2.27083,00:34:40.21:03,929.5865,966.5135,110.15100000000001
220,2.28125,00:34:40.22:00,929.145,966.564,110.56
221,2.29167,00:34:40.22:01,928.6,966.5775,111.0185
222,2.30208,00:34:40.22:02,928.132,966.618,111.44200000000001
223,2.3125,00:34:40.22:03,927.5665,966.6460000000001,111.8655
224,2.32292,00:34:40.23:00,927.062,966.709,112.2915
225,2.33333,00:34:40.23:01,926.5795,966.7535,112.6955
226,2.34375,00:34:40.23:02,926.1155,966.8395,113.0945
227,2.35417,00:34:40.23:03,925.7330000000001,966.877,113.4785
228,2.36458,00:34:40.24:00,925.3635,966.903,113.8425
229,2.375,00:34:40.24:01,925.0835,966.908,114.1905
230,2.38542,00:34:40.24:02,924.7819999999999,966.929,114.5025
231,2.39583,00:34:40.24:03,924.4910000000001,966.929,114.8175
232,2.40625,00:34:41.00:00,924.2525,966.9395,115.11399999999999
233,2.41667,00:34:41.00:01,924.097,966.9755,115.398
234,2.42708,00:34:41.00:02,923.8889999999999,966.987,115.691
235,2.4375,00:34:41.00:03,923.7105,966.9885,115.92
236,2.44792,00:34:41.01:00,923.562,966.998,116.1235
237,2.45833,00:34:41.01:01,923.3565,967.0110000000001,116.3335
238,2.46875,00:34:41.01:02,923.1405,967.048,116.5555
239,2.47917,00:34:41.01:03,923.038,967.084,116.74
240,2.48958,00:34:41.02:00,922.9085,967.1335,116.9085
241,2.5,00:34:41.02:01,922.814,967.1675,117.0835
242,2.51042,00:34:41.02:02,922.6785,967.1925,117.28299999999999
243,2.52083,00:34:41.02:03,922.568,967.2325,117.477
244,2.53125,00:34:41.03:00,922.551,967.2715,117.64399999999999
245,2.54167,00:34:41.03:01,922.4839999999999,967.33,117.809
246,2.55208,00:34:41.03:02,922.44,967.3675,117.9815
247,2.5625,00:34:41.03:03,922.3265,967.41,118.152
248,2.57292,00:34:41.04:00,922.2439999999999,967.445,118.3295
249,2.58333,00:34:41.04:01,922.2245,967.4855,118.495
250,2.59375,00:34:41.04:02,922.1435,967.545,118.6605
251,2.60417,00:34:41.04:03,922.1135,967.591,118.7995
252,2.61458,00:34:41.05:00,922.0105,967.6245,118.9565
253,2.625,00:34:41.05:01,921.97,967.6875,119.111
254,2.63542,00:34:41.05:02,921.9155,967.7285,119.2605
255,2.64583,00:34:41.05:03,921.9265,967.7705,119.3845
256,2.65625,00:34:41.06:00,921.9060000000001,967.8125,119.5185
257,2.66667,00:34:41.06:01,921.909,967.867,119.62
258,2.67708,00:34:41.06:02,922.319,967.9110000000001,119.69
259,2.6875,00:34:41.06:03,922.3405,967.956,119.77
260,2.69792,00:34:41.07:00,922.347,967.9839999999999,119.839
