Frame,Time,SMPTE,bar_spine_x,bar_spine_y,bar_spine_z
1,0.0,00:34:38.17:01,1023.2742,1122.3065,-79.1598
2,0.01042,00:34:38.17:02,1023.3312,1122.319,-79.1938
3,0.02083,00:34:38.17:03,1023.4013,1122.34,-79.2262
4,0.03125,00:34:38.18:00,1023.4169999999999,1122.2945,-79.259
5,0.04167,00:34:38.18:01,1023.6208,1122.3445,-79.446
6,0.052079999999999994,00:34:38.18:02,1023.4960000000001,1122.3238,-79.3005
7,0.0625,00:34:38.18:03,1023.5622,1122.3717,-79.3292
8,0.07292,00:34:38.19:00,1023.6212,1122.4138,-79.3683
9,0.08333,00:34:38.19:01,1023.688,1122.4528,-79.4215
10,0.09375,00:34:38.19:02,1023.765,1122.4835,-79.4512
11,0.10417,00:34:38.19:03,1023.826,1122.5155,-79.4662
12,0.11458,00:34:38.20:00,1023.8828,1122.546,-79.5142
13,0.125,00:34:38.20:01,1023.9235,1122.5672,-79.538
14,0.13542,00:34:38.20:02,1023.953,1122.5965,-79.5662
15,0.14583,00:34:38.20:03,1023.9789999999999,1122.6215,-79.577
16,0.15625,00:34:38.21:00,1023.9025,1122.6338,-79.6052
17,0.16667,00:34:38.21:01,1023.9405,1122.67,-79.6318
18,0.17708,00:34:38.21:02,1023.967,1122.7067,-79.6585
19,0.1875,00:34:38.21:03,1024.0002,1122.721,-79.6785
20,0.19792,00:34:38.22:00,1024.0392,1122.7495,-79.702
21,0.20833000000000002,00:34:38.22:01,1024.0845,1122.7815,-79.719
22,0.21875,00:34:38.22:02,1024.1168,1122.8058,-79.7478
23,0.22916999999999998,00:34:38.22:03,1024.157,1122.8255,-79.8032
24,0.23958000000000002,00:34:38.23:00,1024.185,1122.8487,-79.8318
25,0.25,00:34:38.23:01,1024.226,1122.897,-79.8728
26,0.26042,00:34:38.23:02,1024.262,1122.9718,-79.9143
27,0.27083,00:34:38.23:03,1024.2822,1123.0095,-79.9478
28,0.28125,00:34:38.24:00,1024.3232,1123.0605,-79.9898
29,0.29167,00:34:38.24:01,1024.3325,1123.0972,-80.0355
30,0.30208,00:34:38.24:02,1024.361,1123.1385,-80.0617
31,0.3125,00:34:38.24:03,1024.3675,1123.1818,-80.1272
32,0.32292,00:34:39.00:00,1024.3932,1123.2315,-80.156
33,0.33333,00:34:39.00:01,1024.4038,1123.2645,-80.1925
34,0.34375,00:34:39.00:02,1024.4172,1123.3142,-80.234
35,0.35417,00:34:39.00:03,1024.4425,1123.36,-80.2527
36,0.36458,00:34:39.01:00,1024.4589999999998,1123.402,-80.2925
37,0.375,00:34:39.01:01,1024.4832,1123.441,-80.3245
38,0.38542,00:34:39.01:02,1024.495,1123.501,-80.3408
39,0.39583,00:34:39.01:03,1024.508,1123.539,-80.3732
40,0.40625,00:34:39.02:00,1024.5075,1123.5655,-80.3892
41,0.41667,00:34:39.02:01,1024.5253,1123.6223,-80.4118
42,0.42708,00:34:39.02:02,1024.5212,1123.6613,-80.447
43,0.4375,00:34:39.02:03,1024.5222,1123.7052,-80.449
44,0.44792,00:34:39.03:00,1024.5225,1123.7733,-80.4727
45,0.45833,00:34:39.03:01,1024.5278,1123.8633,-80.4913
46,0.46875,00:34:39.03:02,1024.5332,1123.9389999999999,-80.469
47,0.47917,00:34:39.03:03,1024.5365,1123.9968,-80.4718
48,0.48958,00:34:39.04:00,1024.5428,1124.028,-80.469
49,0.5,00:34:39.04:01,1024.5565,1124.0592,-80.4848
50,0.51042,00:34:39.04:02,1024.569,1124.072,-80.5105
51,0.52083,00:34:39.04:03,1024.5902,1124.101,-80.5398
52,0.53125,00:34:39.05:00,1024.7012,1124.0608,-80.4768
53,0.54167,00:34:39.05:01,1024.7325,1124.09,-80.476
54,0.55208,00:34:39.05:02,1024.7658,1124.0885,-80.5017
55,0.5625,00:34:39.05:03,1024.7898,1124.0947,-80.531
56,0.57292,00:34:39.06:00,1024.826,1124.1248,-80.5215
57,0.58333,00:34:39.06:01,1024.8642,1124.1615,-80.513
58,0.59375,00:34:39.06:02,1024.895,1124.1865,-80.5015
59,0.60417,00:34:39.06:03,1024.9365,1124.2165,-80.4982
60,0.61458,00:34:39.07:00,1024.9788,1124.2735,-80.5108
61,0.625,00:34:39.07:01,1025.0268,1124.3002,-80.492
62,0.63542,00:34:39.07:02,1025.076,1124.3312,-80.5145
63,0.64583,00:34:39.07:03,1025.143,1124.335,-80.5265
64,0.65625,00:34:39.08:00,1025.2092,1124.3302,-80.545
65,0.66667,00:34:39.08:01,1025.1978,1124.2165,-80.524
66,0.67708,00:34:39.08:02,1025.2465,1124.2238,-80.57600000000001
67,0.6875,00:34:39.08:03,1025.2452,1124.1842,-80.595
68,0.69792,00:34:39.09:00,1025.1960000000001,1124.2962,-80.723
69,0.70833,00:34:39.09:01,1025.3775,1124.3907,-80.725
70,0.71875,00:34:39.09:02,1025.3725,1124.594,-80.8952
71,0.72917,00:34:39.09:03,1025.5410000000002,1124.7753,-80.917
72,0.73958,00:34:39.10:00,1025.5968,1124.8095,-80.9272
73,0.75,00:34:39.10:01,1025.6752,1124.8010000000002,-80.9435
74,0.76042,00:34:39.10:02,1025.7545,1124.789,-80.9877
75,0.77083,00:34:39.10:03,1025.846,1124.7935,-81.0202
