Frame,Time,SMPTE,bar_left_foot_x,bar_left_foot_y,bar_left_foot_z
99,0.98,00:38:24:11:03,725.091,5.0827,-44.9843
100,0.99,00:38:24:12:00,725.0980000000001,5.091,-44.9728
101,1.0,00:38:24:12:01,725.1065,5.087,-44.9645
102,1.01,00:38:24:12:02,725.1065,5.087,-44.9645
103,1.02,00:38:24:12:03,725.1195,5.0808,-44.9562
104,1.03,00:38:24:13:00,725.1385,5.0605,-44.9527
105,1.04,00:38:24:13:01,725.1583,5.0475,-44.9552
106,1.05,00:38:24:13:02,725.178,5.035,-44.95399999999999
107,1.06,00:38:24:13:03,725.1918,5.0312,-44.9498
108,1.07,00:38:24:14:00,725.2075,5.0375,-44.93899999999999
109,1.08,00:38:24:14:01,725.2198,5.046,-44.9325
110,1.09,00:38:24:14:02,725.2217,5.0542,-44.9232
111,1.1,00:38:24:14:03,725.2345,5.0517,-44.9115
112,1.11,00:38:24:15:00,725.2427,5.0527,-44.907
113,1.12,00:38:24:15:01,725.2608,5.0455,-44.9133
114,1.13,00:38:24:15:02,725.2815,5.0347,-44.9142
115,1.14,00:38:24:15:03,725.2948,5.0273,-44.9308
116,1.15,00:38:24:16:00,725.3058,5.0345,-44.928999999999995
117,1.16,00:38:24:16:00,725.3152,5.0313,-44.946000000000005
118,1.17,00:38:24:16:01,725.3135,5.0257,-44.9628
119,1.18,00:38:24:16:02,725.3295,5.032,-44.982
120,1.19,00:38:24:16:03,725.3368,5.0435,-44.983999999999995
121,1.2,00:38:24:17:00,725.3453,5.05,-44.983000000000004
122,1.21,00:38:24:17:01,725.3555,5.0372,-44.993
123,1.22,00:38:24:17:02,725.3488,5.0485,-44.9838
124,1.23,00:38:24:18:00,725.3592,5.052,-44.9958
125,1.24,00:38:24:18:01,725.3810000000001,5.045,-44.9985
126,1.25,00:38:24:18:02,725.3892,5.043,-45.0045
127,1.26,00:38:24:18:03,725.3892,5.043,-45.0045
128,1.27,00:38:24:19:00,725.3958,5.0482,-45.0122
129,1.28,00:38:24:19:01,725.3998,5.0578,-44.9995
130,1.29,00:38:24:19:02,725.4068,5.0723,-45.003
131,1.3,00:38:24:19:03,725.4068,5.0808,-44.99
132,1.31,00:38:24:20:00,725.4278,5.0728,-44.9885
133,1.32,00:38:24:20:01,725.4478,5.0625,-44.9902
134,1.33,00:38:24:20:02,725.462,5.0483,-44.985
135,1.34,00:38:24:20:03,725.4872,5.0282,-44.997
136,1.35,00:38:24:21:00,725.5008,5.0082,-45.0008
137,1.36,00:38:24:21:01,725.5018,5.0165,-44.9945
138,1.37,00:38:24:21:02,725.508,5.0125,-45.0052
139,1.38,00:38:24:21:03,725.5097,5.0228,-45.0143
140,1.39,00:38:24:22:00,725.4922,5.0345,-45.015
141,1.4,00:38:24:22:01,725.4775,5.0602,-45.0108
142,1.41,00:38:24:22:01,725.4885,5.058,-45.0278
143,1.42,00:38:24:22:02,725.4878,5.0637,-45.035
144,1.43,00:38:24:22:03,725.502,5.0502,-45.0455
145,1.44,00:38:24:23:00,725.5169999999999,5.0318,-45.06399999999999
146,1.45,00:38:24:23:02,725.5165,5.0198,-45.0835
147,1.46,00:38:24:23:03,725.5169999999999,5.013999999999999,-45.0962
148,1.47,00:38:24:24:00,725.5197,5.018,-45.1125
149,1.48,00:38:24:24:01,725.5107,5.0242,-45.114
150,1.49,00:38:24:24:02,725.5062,5.0298,-45.1108
151,1.5,00:38:24:24:03,725.4958,5.0375,-45.1025
152,1.51,00:38:25:00:00,725.4958,5.0375,-45.1025
153,1.52,00:38:25:00:01,725.5065,5.0458,-45.1015
154,1.53,00:38:25:00:02,725.5147,5.0335,-45.1205
155,1.54,00:38:25:00:03,725.5198,5.0318,-45.137
156,1.55,00:38:25:01:00,725.5308,5.0145,-45.1395
157,1.56,00:38:25:01:01,725.528,5.007,-45.1382
158,1.57,00:38:25:01:02,725.5287,5.0108,-45.1425
159,1.58,00:38:25:01:03,725.5310000000001,5.0123,-45.144
160,1.59,00:38:25:02:00,725.5228,5.0227,-45.13
161,1.6,00:38:25:02:01,725.525,5.0333,-45.1218
162,1.61,00:38:25:02:02,725.5345,5.032,-45.1128
163,1.62,00:38:25:02:03,725.5407,5.0325,-45.1155
164,1.63,00:38:25:03:00,725.5513,5.013999999999999,-45.1112
165,1.64,00:38:25:03:01,725.5652,5.0035,-45.126000000000005
166,1.65,00:38:25:03:02,725.5768,4.986000000000001,-45.1183
167,1.66,00:38:25:03:03,725.5862,4.988,-45.1085
168,1.67,00:38:25:03:03,725.5880000000001,4.9842,-45.1082
169,1.68,00:38:25:04:00,725.5828,5.001,-45.099
170,1.69,00:38:25:04:01,725.5825,5.0073,-45.085
171,1.7,00:38:25:04:03,725.578,5.0185,-45.0758
172,1.71,00:38:25:05:00,725.5805,5.025,-45.068000000000005
173,1.72,00:38:25:05:01,725.5848,5.0182,-45.067
174,1.73,00:38:25:05:02,725.5939999999999,4.999,-45.0688
175,1.74,00:38:25:05:03,725.607,4.9857,-45.0698
176,1.75,00:38:25:06:00,725.605,4.9775,-45.0758
177,1.76,00:38:25:06:01,725.605,4.9775,-45.0758
178,1.77,00:38:25:06:02,725.6095,4.9758,-45.0628
179,1.78,00:38:25:06:03,725.6098,4.9832,-45.0555
180,1.79,00:38:25:07:00,725.6060000000001,4.9925,-45.0392
181,1.8,00:38:25:07:01,725.6032,5.0013,-45.0295
182,1.81,00:38:25:07:02,725.6115,5.006,-45.0282
183,1.82,00:38:25:07:03,725.6162,4.9932,-45.0185
184,1.83,00:38:25:08:00,725.6177,4.9945,-45.0158
185,1.84,00:38:25:08:01,725.6288,4.9883,-45.0172
186,1.85,00:38:25:08:02,725.6392,4.979,-45.0058
187,1.86,00:38:25:08:03,725.6452,4.9718,-44.9952
188,1.87,00:38:25:09:00,725.6468,4.9765,-44.9858
189,1.88,00:38:25:09:01,725.66,4.9868,-44.9578
190,1.89,00:38:25:09:02,725.6648,4.9975,-44.9508
191,1.9,00:38:25:09:03,725.6785,4.9965,-44.94
192,1.91,00:38:25:10:00,725.6962,4.992,-44.9382
193,1.92,00:38:25:10:01,725.7052,4.9875,-44.9268
194,1.93,00:38:25:10:02,725.7262,4.9803,-44.9275
195,1.94,00:38:25:10:03,725.7345,4.9783,-44.9298
196,1.95,00:38:25:11:00,725.7535,4.9727,-44.9228
197,1.96,00:38:25:11:01,725.7495,4.9785,-44.9188
198,1.97,00:38:25:11:02,725.7662,4.9678,-44.9155
199,1.98,00:38:25:11:03,725.7660000000001,4.9742,-44.915
200,1.99,00:38:25:12:00,725.7668,4.9865,-44.911
201,2.0,00:38:25:12:01,725.7762,4.9843,-44.9133
202,2.01,00:38:25:12:02,725.7762,4.9843,-44.9133
203,2.02,00:38:25:12:03,725.7802,4.994,-44.9293
204,2.03,00:38:25:13:00,725.7928,4.989,-44.9298
205,2.04,00:38:25:13:01,725.807,4.9868,-44.9148
206,2.05,00:38:25:13:01,725.819,4.9793,-44.9145
207,2.06,00:38:25:13:03,725.8242,4.985,-44.9092
208,2.07,00:38:25:13:03,725.8265,4.975,-44.8955
209,2.08,00:38:25:14:01,725.8348,4.976,-44.8915
210,2.09,00:38:25:14:01,725.8328,4.9848,-44.8902
211,2.1,00:38:25:14:03,725.8377,4.974,-44.9
212,2.11,00:38:25:14:03,725.8365,4.9815,-44.907
213,2.12,00:38:25:15:01,725.8415,4.9925,-44.894
214,2.13,00:38:25:15:01,725.8425,4.9922,-44.909
215,2.14,00:38:25:15:03,725.8405,4.9798,-44.9108
216,2.15,00:38:25:15:03,725.85,4.9765,-44.8978
217,2.16,00:38:25:16:01,725.8498,4.9705,-44.903
218,2.17,00:38:25:16:01,725.8502,4.9762,-44.9168
219,2.18,00:38:25:16:03,725.86,4.9822,-44.897
220,2.19,00:38:25:16:03,725.8545,4.9837,-44.8985
221,2.2,00:38:25:17:01,725.8432,4.9848,-44.9052
222,2.21,00:38:25:17:01,725.8457,4.9865,-44.9043
223,2.22,00:38:25:17:03,725.8392,4.9903,-44.9208
224,2.23,00:38:25:18:00,725.8452,4.9957,-44.9012
225,2.24,00:38:25:18:01,725.8457,4.9915,-44.918
226,2.25,00:38:25:18:02,725.852,4.9853,-44.907
227,2.26,00:38:25:18:03,725.852,4.9853,-44.907
228,2.27,00:38:25:19:00,725.8525,4.98,-44.9098
229,2.28,00:38:25:19:01,725.8598,4.9775,-44.9025
230,2.29,00:38:25:19:02,725.8575,4.9825,-44.9155
231,2.3,00:38:25:19:03,725.8625,4.9868,-44.9148
232,2.31,00:38:25:20:00,725.8628,4.9845,-44.9205
233,2.32,00:38:25:20:00,725.8582,4.9910000000000005,-44.9405
234,2.33,00:38:25:20:02,725.8643,4.9953,-44.9258
235,2.34,00:38:25:20:02,725.8662,4.9897,-44.9475
236,2.35,00:38:25:21:00,725.8642,4.9953,-44.9418
237,2.36,00:38:25:21:00,725.8585,4.9965,-44.9555
238,2.37,00:38:25:21:02,725.872,4.9827,-44.9588
239,2.38,00:38:25:21:02,725.88,4.9775,-44.963
240,2.39,00:38:25:22:00,725.8795,4.9910000000000005,-44.9572
241,2.4,00:38:25:22:00,725.8828,4.9892,-44.9728
242,2.41,00:38:25:22:02,725.8810000000001,4.993,-44.9815
243,2.42,00:38:25:22:02,725.8789999999999,4.9918,-44.983000000000004
244,2.43,00:38:25:23:00,725.883,4.9975,-44.9815
245,2.44,00:38:25:23:00,725.8812,4.9958,-44.9993
246,2.45,00:38:25:23:02,725.8889999999999,4.9910000000000005,-44.9982
247,2.46,00:38:25:23:03,725.8893,4.9948,-45.0138
248,2.47,00:38:25:24:00,725.8945,4.9905,-45.016999999999996
249,2.48,00:38:25:24:01,725.9,4.9952,-45.0235
250,2.49,00:38:25:24:02,725.9052,4.9903,-45.0295
251,2.5,00:38:25:24:03,725.908,5.0045,-45.012
252,2.51,00:38:26:00:00,725.908,5.0045,-45.012
253,2.52,00:38:26:00:01,725.904,5.0018,-45.0222
254,2.53,00:38:26:00:02,725.909,5.0072,-45.0118
255,2.54,00:38:26:00:03,725.9035,5.0045,-45.0288
256,2.55,00:38:26:01:00,725.9,5.0052,-45.0305
257,2.56,00:38:26:01:01,725.9119999999999,5.005,-45.0378
258,2.57,00:38:26:01:01,725.9137,5.0038,-45.04
259,2.58,00:38:26:01:03,725.919,5.0038,-45.0335
260,2.59,00:38:26:01:03,725.9235,5.0108,-45.0288
261,2.6,00:38:26:02:01,725.9215,5.0148,-45.0395
262,2.61,00:38:26:02:01,725.9215,5.031000000000001,-45.0168
263,2.62,00:38:26:02:03,725.9235,5.0205,-45.0298
264,2.63,00:38:26:02:03,725.9365,5.0158,-45.0335
265,2.64,00:38:26:03:01,725.947,5.0125,-45.0382
266,2.65,00:38:26:03:01,725.96,5.012,-45.051
267,2.66,00:38:26:03:03,725.9722,5.0073,-45.055
268,2.67,00:38:26:03:03,725.9908,4.9937,-45.0598
269,2.68,00:38:26:04:01,726.0062,4.9953,-45.0597
270,2.69,00:38:26:04:01,726.0312,4.9975,-45.0585
271,2.7,00:38:26:04:03,726.0415,4.9918,-45.0473
272,2.71,00:38:26:05:00,726.056,4.9888,-45.0442
273,2.72,00:38:26:05:01,726.0658,4.986000000000001,-45.0428
274,2.73,00:38:26:05:02,726.087,4.978,-45.028
275,2.74,00:38:26:05:03,726.1022,4.9717,-45.0305
276,2.75,00:38:26:06:00,726.1298,4.9505,-45.0328
277,2.76,00:38:26:06:01,726.1298,4.9505,-45.0328
278,2.77,00:38:26:06:02,726.1522,4.9293,-45.0138
279,2.78,00:38:26:06:03,726.192,4.9083,-45.001000000000005
280,2.79,00:38:26:07:00,726.2312,4.8885,-44.9755
281,2.8,00:38:26:07:01,726.2739999999999,4.8782,-44.9275
282,2.81,00:38:26:07:02,726.3245,4.8678,-44.8743
283,2.82,00:38:26:07:02,726.419,4.8405,-44.7958
284,2.83,00:38:26:08:00,726.5088,4.8208,-44.7312
285,2.84,00:38:26:08:00,726.6117,4.7932,-44.6462
286,2.85,00:38:26:08:02,726.7182,4.7697,-44.5652
287,2.86,00:38:26:08:02,726.8035,4.7645,-44.519
288,2.87,00:38:26:09:00,726.86,4.8127,-44.4587
289,2.88,00:38:26:09:00,726.9082,4.8075,-44.4535
290,2.89,00:38:26:09:02,726.9415,4.8073,-44.458999999999996
291,2.9,00:38:26:09:03,726.9692,4.796,-44.4695
292,2.91,00:38:26:10:00,726.9838,4.7885,-44.496
293,2.92,00:38:26:10:01,726.9910000000001,4.7763,-44.5168
294,2.93,00:38:26:10:02,726.9898,4.757,-44.5495
295,2.94,00:38:26:10:03,726.9805,4.7542,-44.5788
296,2.95,00:38:26:11:00,726.9613,4.7467,-44.6025
297,2.96,00:38:26:11:01,726.9708,4.7432,-44.6155
298,2.97,00:38:26:11:02,726.9857,4.7335,-44.6132
299,2.98,00:38:26:11:03,727.0115,4.7525,-44.5948
300,2.99,00:38:26:12:00,727.1188,4.7102,-44.5888
301,3.0,00:38:26:12:01,727.1472,4.7318,-44.5825
302,3.01,00:38:26:12:02,727.1472,4.7318,-44.5825
303,3.02,00:38:26:12:03,727.1652,4.7275,-44.5802
304,3.03,00:38:26:13:00,727.176,4.72,-44.59
305,3.04,00:38:26:13:01,727.182,4.724,-44.6032
306,3.05,00:38:26:13:02,727.1902,4.72,-44.6112
307,3.06,00:38:26:13:03,727.2042,4.7139999999999995,-44.6238
308,3.07,00:38:26:14:00,727.204,4.7167,-44.6243
309,3.08,00:38:26:14:01,727.203,4.7262,-44.63399999999999
310,3.09,00:38:26:14:01,727.1988,4.7255,-44.6458
311,3.1,00:38:26:14:03,727.202,4.7235,-44.6622
312,3.11,00:38:26:14:03,727.2108,4.7193,-44.698
313,3.12,00:38:26:15:01,727.2317,4.7255,-44.7182
314,3.13,00:38:26:15:01,727.243,4.7182,-44.7402
315,3.14,00:38:26:15:03,727.2658,4.7255,-44.7632
316,3.15,00:38:26:15:03,727.2973,4.7215,-44.7627
317,3.16,00:38:26:16:01,727.3253,4.7287,-44.7597
318,3.17,00:38:26:16:01,727.3592,4.7322,-44.7567
319,3.18,00:38:26:16:03,727.3798,4.739,-44.7463
320,3.19,00:38:26:16:03,727.3915,4.7478,-44.7365
321,3.2,00:38:26:17:01,727.4012,4.7405,-44.7403
322,3.21,00:38:26:17:01,727.4002,4.7375,-44.7582
323,3.22,00:38:26:17:03,727.4067,4.7337,-44.7585
324,3.23,00:38:26:18:00,727.4010000000001,4.7325,-44.7592
325,3.24,00:38:26:18:01,727.4142,4.7413,-44.7507
326,3.25,00:38:26:18:02,727.437,4.7385,-44.7643
327,3.26,00:38:26:18:03,727.437,4.7385,-44.7643
328,3.27,00:38:26:19:00,727.48,4.7382,-44.7788
329,3.28,00:38:26:19:01,727.5232,4.7305,-44.8078
330,3.29,00:38:26:19:02,727.7869999999999,4.6203,-44.8605
