Frame,Time,SMPTE,bar_head_x,bar_head_y,bar_head_z
97,0.96,00:38:24:11:01,742.8708,1561.3696,-121.1248
98,0.97,00:38:24:11:02,743.0494,1561.3442,-120.5784
99,0.98,00:38:24:11:03,743.2332,1561.336,-120.028
100,0.99,00:38:24:12:00,743.409,1561.3292,-119.4904
101,1.0,00:38:24:12:01,743.5916,1561.3176,-118.9406
102,1.01,00:38:24:12:02,743.5916,1561.3176,-118.9406
103,1.02,00:38:24:12:03,743.7819999999998,1561.3112,-118.4048
104,1.03,00:38:24:13:00,743.9712,1561.2844,-117.8744
105,1.04,00:38:24:13:01,744.1898,1561.2658,-117.3654
106,1.05,00:38:24:13:02,744.4048,1561.2378,-116.8808
107,1.06,00:38:24:13:03,744.6106,1561.2196,-116.3926
108,1.07,00:38:24:14:00,744.8330000000002,1561.1972,-115.9182
109,1.08,00:38:24:14:01,745.0578,1561.1660000000004,-115.4696
110,1.09,00:38:24:14:02,745.2928,1561.1486,-115.013
111,1.1,00:38:24:14:03,745.5488,1561.1322,-114.5728
112,1.11,00:38:24:15:00,745.7924,1561.1094,-114.1502
113,1.12,00:38:24:15:01,746.0652,1561.0898,-113.741
114,1.13,00:38:24:15:02,746.3336,1561.0712,-113.3576
115,1.14,00:38:24:15:03,746.5992,1561.0648,-112.9706
116,1.15,00:38:24:16:00,746.8904,1561.0454,-112.627
117,1.16,00:38:24:16:00,747.1664,1561.0182,-112.3036
118,1.17,00:38:24:16:01,747.4556,1561.0172,-111.9904
119,1.18,00:38:24:16:02,747.725,1561.006,-111.6932
120,1.19,00:38:24:16:03,748.0088,1561.0018,-111.4276
121,1.2,00:38:24:17:00,748.2956,1560.9968,-111.1968
122,1.21,00:38:24:17:01,748.5878,1560.981,-111.0028
123,1.22,00:38:24:17:02,748.8784,1560.9698,-110.822
124,1.23,00:38:24:18:00,749.1802,1560.9354,-110.6726
125,1.24,00:38:24:18:01,749.4756,1560.9094,-110.5368
126,1.25,00:38:24:18:02,749.768,1560.8816,-110.4284
127,1.26,00:38:24:18:03,749.768,1560.8816,-110.4284
128,1.27,00:38:24:19:00,750.0588,1560.8542,-110.3312
129,1.28,00:38:24:19:01,750.3442,1560.8272,-110.2362
130,1.29,00:38:24:19:02,750.6378,1560.8086,-110.16
131,1.3,00:38:24:19:03,750.9394,1560.7912,-110.0882
132,1.31,00:38:24:20:00,751.2410000000001,1560.7498,-110.0346
133,1.32,00:38:24:20:01,751.55,1560.7194,-109.976
134,1.33,00:38:24:20:02,751.9516,1560.6408,-109.8782
135,1.34,00:38:24:20:03,752.28,1560.6256,-109.8146
136,1.35,00:38:24:21:00,752.5728,1560.628,-109.752
137,1.36,00:38:24:21:01,752.8814,1560.6229999999996,-109.6792
138,1.37,00:38:24:21:02,753.203,1560.6358,-109.6006
139,1.38,00:38:24:21:03,753.5198,1560.6458,-109.5214
140,1.39,00:38:24:22:00,753.823,1560.6536,-109.4516
141,1.4,00:38:24:22:01,754.1654,1560.6638,-109.391
142,1.41,00:38:24:22:01,754.4994,1560.6576,-109.3296
143,1.42,00:38:24:22:02,754.8430000000002,1560.6472,-109.2686
144,1.43,00:38:24:22:03,755.2152,1560.6402,-109.231
145,1.44,00:38:24:23:00,755.5638,1560.6178,-109.192
146,1.45,00:38:24:23:02,755.9486,1560.6018,-109.1678
147,1.46,00:38:24:23:03,756.295,1560.5638,-109.1398
148,1.47,00:38:24:24:00,756.6656,1560.5356,-109.1106
149,1.48,00:38:24:24:01,757.04,1560.5,-109.0798
150,1.49,00:38:24:24:02,757.4078,1560.4862,-109.044
151,1.5,00:38:24:24:03,757.7760000000002,1560.4624,-108.9982
152,1.51,00:38:25:00:00,757.7760000000002,1560.4624,-108.9982
153,1.52,00:38:25:00:01,758.1406,1560.4318,-108.9372
154,1.53,00:38:25:00:02,758.5044,1560.399,-108.8864
155,1.54,00:38:25:00:03,758.877,1560.3688,-108.7888
156,1.55,00:38:25:01:00,759.21,1560.354,-108.7178
157,1.56,00:38:25:01:01,759.5332,1560.3232,-108.612
158,1.57,00:38:25:01:02,759.8626,1560.2966,-108.5078
159,1.58,00:38:25:01:03,760.1868,1560.2764,-108.4026
160,1.59,00:38:25:02:00,760.4868,1560.2528,-108.2936
161,1.6,00:38:25:02:01,760.7882,1560.2388,-108.1842
162,1.61,00:38:25:02:02,761.0662,1560.2214,-108.076
163,1.62,00:38:25:02:03,761.3228,1560.2016,-107.9668
164,1.63,00:38:25:03:00,761.571,1560.1796,-107.8598
165,1.64,00:38:25:03:01,761.8138,1560.1696,-107.7596
166,1.65,00:38:25:03:02,762.0274,1560.1642,-107.671
167,1.66,00:38:25:03:03,762.2258,1560.1516,-107.5758
168,1.67,00:38:25:03:03,762.4112,1560.162,-107.4892
169,1.68,00:38:25:04:00,762.5954,1560.1564,-107.3902
170,1.69,00:38:25:04:01,762.7628,1560.174,-107.2928
171,1.7,00:38:25:04:03,762.9224,1560.1866,-107.216
172,1.71,00:38:25:05:00,763.0864,1560.1938,-107.1444
173,1.72,00:38:25:05:01,763.2344,1560.1932,-107.0782
174,1.73,00:38:25:05:02,763.3714,1560.1836,-107.02
175,1.74,00:38:25:05:03,763.5089999999999,1560.1708,-106.9588
176,1.75,00:38:25:06:00,763.6510000000002,1560.162,-106.8826
177,1.76,00:38:25:06:01,763.6510000000002,1560.162,-106.8826
178,1.77,00:38:25:06:02,763.7902,1560.1660000000004,-106.8146
179,1.78,00:38:25:06:03,763.9488,1560.1628,-106.7308
180,1.79,00:38:25:07:00,764.0818,1560.1729999999998,-106.6582
181,1.8,00:38:25:07:01,764.2174,1560.1882,-106.5904
182,1.81,00:38:25:07:02,764.3674,1560.1978,-106.497
183,1.82,00:38:25:07:03,764.5058,1560.2108,-106.4396
184,1.83,00:38:25:08:00,764.6316,1560.2238,-106.3614
185,1.84,00:38:25:08:01,764.779,1560.2468,-106.2882
186,1.85,00:38:25:08:02,764.9244,1560.2448,-106.213
187,1.86,00:38:25:08:03,765.0528,1560.2444,-106.1296
188,1.87,00:38:25:09:00,765.1888,1560.2504,-106.0628
189,1.88,00:38:25:09:01,765.3336,1560.2520000000004,-105.9874
190,1.89,00:38:25:09:02,765.4446,1560.2520000000004,-105.9388
191,1.9,00:38:25:09:03,765.5566,1560.253,-105.8858
192,1.91,00:38:25:10:00,765.6854,1560.2494,-105.8544
193,1.92,00:38:25:10:01,765.805,1560.2572,-105.8328
194,1.93,00:38:25:10:02,765.9156,1560.2556,-105.8166
195,1.94,00:38:25:10:03,766.0239999999999,1560.2614,-105.8092
196,1.95,00:38:25:11:00,766.1322,1560.2586,-105.8178
197,1.96,00:38:25:11:01,766.2224,1560.2682,-105.8258
198,1.97,00:38:25:11:02,766.3116,1560.2694,-105.84
199,1.98,00:38:25:11:03,766.395,1560.275,-105.8804
200,1.99,00:38:25:12:00,766.4634,1560.2656,-105.9016
201,2.0,00:38:25:12:01,766.5216,1560.2582,-105.9406
202,2.01,00:38:25:12:02,766.5216,1560.2582,-105.9406
203,2.02,00:38:25:12:03,766.5882,1560.2548,-105.9756
204,2.03,00:38:25:13:00,766.6389999999999,1560.2456,-106.0
205,2.04,00:38:25:13:01,766.6732,1560.2444,-106.042
206,2.05,00:38:25:13:01,766.7054,1560.2436,-106.0602
207,2.06,00:38:25:13:03,766.7076,1560.2392,-106.0806
208,2.07,00:38:25:13:03,766.7288,1560.2384,-106.104
209,2.08,00:38:25:14:01,766.7339999999998,1560.2296,-106.1262
210,2.09,00:38:25:14:01,766.7286,1560.23,-106.1388
211,2.1,00:38:25:14:03,766.7152,1560.2232,-106.1494
212,2.11,00:38:25:14:03,766.7218,1560.2284,-106.1488
213,2.12,00:38:25:15:01,766.716,1560.2316,-106.1446
214,2.13,00:38:25:15:01,766.7104,1560.2252,-106.1502
215,2.14,00:38:25:15:03,766.7102,1560.2274,-106.1306
216,2.15,00:38:25:15:03,766.7239999999998,1560.2132,-106.122
217,2.16,00:38:25:16:01,766.7446,1560.211,-106.1208
218,2.17,00:38:25:16:01,766.7488,1560.2046,-106.1028
219,2.18,00:38:25:16:03,766.7708,1560.1954,-106.0854
220,2.19,00:38:25:16:03,766.8076,1560.1862,-106.0576
221,2.2,00:38:25:17:01,766.8634,1560.1858,-106.0386
222,2.21,00:38:25:17:01,766.905,1560.1862,-106.0174
223,2.22,00:38:25:17:03,766.9496,1560.1848,-105.9854
224,2.23,00:38:25:18:00,767.0012,1560.1748,-105.9472
225,2.24,00:38:25:18:01,767.0648,1560.169,-105.8938
226,2.25,00:38:25:18:02,767.1388,1560.1576,-105.8432
227,2.26,00:38:25:18:03,767.1388,1560.1576,-105.8432
228,2.27,00:38:25:19:00,767.2158,1560.1434,-105.7864
229,2.28,00:38:25:19:01,767.3014,1560.1174,-105.7026
230,2.29,00:38:25:19:02,767.3798,1560.0882,-105.6224
231,2.3,00:38:25:19:03,767.4638,1560.064,-105.5224
232,2.31,00:38:25:20:00,767.5372,1560.0386,-105.405
233,2.32,00:38:25:20:00,767.6014,1560.0168,-105.2828
234,2.33,00:38:25:20:02,767.6546,1560.011,-105.1506
235,2.34,00:38:25:20:02,767.6994,1560.019,-105.0108
236,2.35,00:38:25:21:00,767.7654,1560.0266,-104.8464
237,2.36,00:38:25:21:00,767.8128,1560.0268,-104.667
238,2.37,00:38:25:21:02,767.8906,1560.0058,-104.4762
239,2.38,00:38:25:21:02,767.942,1559.9924,-104.2722
240,2.39,00:38:25:22:00,768.007,1559.9744,-104.0402
241,2.4,00:38:25:22:00,768.0748,1559.9716,-103.7848
242,2.41,00:38:25:22:02,768.1432,1559.9546,-103.5088
243,2.42,00:38:25:22:02,768.2082,1559.9376,-103.204
244,2.43,00:38:25:23:00,768.2744,1559.9014,-102.9082
245,2.44,00:38:25:23:00,768.3252,1559.8544,-102.5914
246,2.45,00:38:25:23:02,768.3852,1559.8056,-102.2732
247,2.46,00:38:25:23:03,768.4262,1559.7636,-101.9348
248,2.47,00:38:25:24:00,768.485,1559.7158,-101.5976
249,2.48,00:38:25:24:01,768.578,1559.6529999999998,-101.258
250,2.49,00:38:25:24:02,768.6374,1559.624,-100.888
251,2.5,00:38:25:24:03,768.7242,1559.5794,-100.4958
252,2.51,00:38:26:00:00,768.7242,1559.5794,-100.4958
253,2.52,00:38:26:00:01,768.8016,1559.5562,-100.111
254,2.53,00:38:26:00:02,768.8732,1559.546,-99.6878
255,2.54,00:38:26:00:03,768.9348,1559.5484,-99.2436
256,2.55,00:38:26:01:00,769.0072,1559.5596,-98.772
257,2.56,00:38:26:01:01,769.0772,1559.5754,-98.2554
258,2.57,00:38:26:01:01,769.1768,1559.5844,-97.7194
259,2.58,00:38:26:01:03,769.3042,1559.5824,-97.1184
260,2.59,00:38:26:01:03,769.4126,1559.5572,-96.4964
261,2.6,00:38:26:02:01,769.5618,1559.52,-95.8112
262,2.61,00:38:26:02:01,769.7066,1559.4620000000002,-95.0906
263,2.62,00:38:26:02:03,769.903,1559.4018,-94.2944
264,2.63,00:38:26:02:03,770.0896,1559.3316,-93.4524
265,2.64,00:38:26:03:01,770.2660000000002,1559.253,-92.5612
